Source,Target,Weight,freqT1,freqT2,times,timesT1,timesT2
1845,1151,2,0,1,23,NULL,6
844,76,1,0,0,6,NULL,NULL
1119,834,2,2,1,51,18,23
1996,420,1,1,0,6,6,NULL
1159,1177,1,0,0,6,NULL,NULL
1453,687,1,0,0,8,NULL,NULL
1735,658,1,0,0,10,NULL,NULL
43,264,1,0,0,7,NULL,NULL
346,2026,2,1,0,26,15,NULL
540,1882,1,0,0,6,NULL,NULL
1858,517,1,0,0,6,NULL,NULL
1290,2108,1,0,0,8,NULL,NULL
1122,1141,1,1,0,12,12,NULL
1257,1155,1,0,1,47,NULL,33
348,849,1,0,1,6,NULL,6
1791,1232,1,0,0,6,NULL,NULL
1439,882,1,0,1,13,NULL,9
1410,661,1,0,1,6,NULL,6
230,1119,8,2,7,363,45,299
1740,1783,3,2,1,35,15,9
1709,1720,1,0,0,6,NULL,NULL
